lat,long,timestamp,deviceId,dataState,routeNumber,date,vehicleNumber,speed,provider,serverTime
0.0,0.0,2004-01-01 21:02:06+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:08+00:00
0.0,0.0,2004-01-01 21:02:17+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:18+00:00
0.0,0.0,2004-01-01 21:02:26+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:28+00:00
0.0,0.0,2004-01-01 21:02:36+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:38+00:00
0.0,0.0,2004-01-01 21:02:47+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:49+00:00
0.0,0.0,2004-01-01 21:02:56+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:59+00:00
0.0,0.0,2004-01-01 21:03:06+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:34:10+00:00
0.0,0.0,2004-01-01 21:03:18+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:34:20+00:00
0.0,0.0,2004-01-01 21:03:27+00:00,869244044715450,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:34:29+00:00
0.0,0.0,2004-01-03 06:21:46+00:00,868728039305021,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:34:03+00:00
0.0,0.0,2004-01-01 21:04:19+00:00,869244044715450,L,,2025-03-25 09:35:58+00:00,KA01G1234,0.0,chalo,2025-03-25 09:35:21+00:00
0.0,0.0,2004-01-01 21:04:49+00:00,869244044715450,L,,2025-03-25 09:35:58+00:00,KA01G1234,0.0,chalo,2025-03-25 09:35:52+00:00
13.061227,80.163986,2025-03-21 15:51:53+00:00,rand,L,,2025-03-24 11:22:29+00:00,KA01G1234,0.0,chalo,2025-03-24 11:22:04+00:00
13.061227,80.163986,2025-03-21 15:51:53+00:00,rand,L,,2025-03-24 11:22:29+00:00,KA01G1234,0.0,chalo,2025-03-24 11:22:05+00:00
0.0,0.0,2004-01-01 21:04:58+00:00,869244044715450,L,,2025-03-25 09:36:57+00:00,KA01G1234,0.0,chalo,2025-03-25 09:36:03+00:00
0.0,0.0,2004-01-01 21:05:20+00:00,869244044715450,L,,2025-03-25 09:36:57+00:00,KA01G1234,0.0,chalo,2025-03-25 09:36:22+00:00
0.0,0.0,2004-01-01 21:05:29+00:00,869244044715450,L,,2025-03-25 09:36:57+00:00,KA01G1234,0.0,chalo,2025-03-25 09:36:33+00:00
0.0,0.0,2004-01-24 15:08:51+00:00,868728039248759,L,,2025-03-25 09:32:59+00:00,KA01G1234,0.0,chalo,2025-03-25 09:32:45+00:00
0.0,0.0,2004-01-24 15:09:01+00:00,868728039248759,L,,2025-03-25 09:32:59+00:00,KA01G1234,0.0,chalo,2025-03-25 09:32:57+00:00
0.0,0.0,2004-01-24 15:09:21+00:00,868728039248759,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:18+00:00
0.0,0.0,2004-01-24 15:10:01+00:00,868728039248759,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:33:55+00:00
0.0,0.0,2004-01-24 15:10:21+00:00,868728039248759,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:34:15+00:00
0.0,0.0,2004-01-24 15:10:36+00:00,868728039248759,L,,2025-03-25 09:34:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:34:31+00:00
0.0,0.0,2017-09-04 23:16:38+00:00,869244044702649,L,,2025-03-25 09:36:57+00:00,KA01G1234,0.0,chalo,2025-03-25 09:36:33+00:00
13.061227,80.163986,2025-03-21 15:51:53+00:00,rand,L,,2025-03-24 11:20:03+00:00,KA01G1234,0.0,chalo,2025-03-24 11:19:18+00:00
13.099332,80.17009,2025-03-25 09:10:25+00:00,869244042810758,L,,2025-03-25 09:10:53+00:00,KA01G1234,0.0,chalo,2025-03-25 09:10:27+00:00
13.099334,80.17009,2025-03-25 09:10:44+00:00,869244042810758,L,,2025-03-25 09:10:53+00:00,KA01G1234,0.0,chalo,2025-03-25 09:10:47+00:00
13.099334,80.17009,2025-03-25 09:10:54+00:00,869244042810758,L,,2025-03-25 09:11:43+00:00,KA01G1234,0.0,chalo,2025-03-25 09:10:57+00:00
13.099334,80.17009,2025-03-25 09:11:04+00:00,869244042810758,L,,2025-03-25 09:11:43+00:00,KA01G1234,0.0,chalo,2025-03-25 09:11:07+00:00
13.099336,80.170082,2025-03-25 09:11:14+00:00,869244042810758,L,,2025-03-25 09:11:43+00:00,KA01G1234,0.0,chalo,2025-03-25 09:11:17+00:00
13.099336,80.170082,2025-03-25 09:11:24+00:00,869244042810758,L,,2025-03-25 09:11:43+00:00,KA01G1234,0.0,chalo,2025-03-25 09:11:27+00:00
13.099336,80.170082,2025-03-25 09:11:34+00:00,869244042810758,L,,2025-03-25 09:11:43+00:00,KA01G1234,0.0,chalo,2025-03-25 09:11:37+00:00
13.099338,80.170082,2025-03-25 09:12:54+00:00,869244042810758,L,,2025-03-25 09:13:32+00:00,KA01G1234,0.0,chalo,2025-03-25 09:12:57+00:00
13.099341,80.170074,2025-03-25 09:13:54+00:00,869244042810758,L,,2025-03-25 09:14:34+00:00,KA01G1234,0.0,chalo,2025-03-25 09:13:56+00:00
13.099341,80.170074,2025-03-25 09:14:14+00:00,869244042810758,L,,2025-03-25 09:14:34+00:00,KA01G1234,0.0,chalo,2025-03-25 09:14:17+00:00
13.099341,80.170074,2025-03-25 09:14:24+00:00,869244042810758,L,,2025-03-25 09:14:34+00:00,KA01G1234,0.0,chalo,2025-03-25 09:14:27+00:00
13.099339,80.170082,2025-03-25 09:14:44+00:00,869244042810758,L,,2025-03-25 09:15:18+00:00,KA01G1234,0.0,chalo,2025-03-25 09:14:47+00:00
13.099327,80.170082,2025-03-25 09:16:43+00:00,869244042810758,L,,2025-03-25 09:17:19+00:00,KA01G1234,0.0,chalo,2025-03-25 09:16:46+00:00
13.099327,80.170082,2025-03-25 09:17:03+00:00,869244042810758,L,,2025-03-25 09:17:19+00:00,KA01G1234,0.0,chalo,2025-03-25 09:17:06+00:00
13.099326,80.170082,2025-03-25 09:17:13+00:00,869244042810758,L,,2025-03-25 09:17:19+00:00,KA01G1234,0.0,chalo,2025-03-25 09:17:16+00:00
13.099326,80.170082,2025-03-25 09:17:23+00:00,869244042810758,L,,2025-03-25 09:18:14+00:00,KA01G1234,0.0,chalo,2025-03-25 09:17:26+00:00
13.099326,80.170082,2025-03-25 09:17:43+00:00,869244042810758,L,,2025-03-25 09:18:14+00:00,KA01G1234,0.0,chalo,2025-03-25 09:17:46+00:00
13.099322,80.170067,2025-03-25 09:19:23+00:00,869244042810758,L,,2025-03-25 09:20:04+00:00,KA01G1234,0.0,chalo,2025-03-25 09:19:25+00:00
13.099322,80.170067,2025-03-25 09:19:33+00:00,869244042810758,L,,2025-03-25 09:20:04+00:00,KA01G1234,0.0,chalo,2025-03-25 09:19:35+00:00
13.099319,80.170067,2025-03-25 09:20:13+00:00,869244042810758,L,,2025-03-25 09:20:56+00:00,KA01G1234,0.0,chalo,2025-03-25 09:20:15+00:00
13.099316,80.170059,2025-03-25 09:21:32+00:00,869244042810758,L,,2025-03-25 09:21:48+00:00,KA01G1234,0.0,chalo,2025-03-25 09:21:37+00:00
13.099316,80.170059,2025-03-25 09:21:42+00:00,869244042810758,L,,2025-03-25 09:21:48+00:00,KA01G1234,0.0,chalo,2025-03-25 09:21:46+00:00
13.099313,80.170052,2025-03-25 09:22:42+00:00,869244042810758,L,,2025-03-25 09:22:42+00:00,KA01G1234,0.0,chalo,2025-03-25 09:22:44+00:00
13.099313,80.170052,2025-03-25 09:22:52+00:00,869244042810758,L,,2025-03-25 09:23:34+00:00,KA01G1234,0.0,chalo,2025-03-25 09:22:54+00:00
