deviceId,Fleet#,Time,Date,Interval,Day_of_week,start_stop,end_stop,routeId,timeTaken,direction,route_name
358250330634212,K0004,14:11:11,2025-03-25,55,1,SECRETARIAT,CHEPAUK,102K CD,40.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
358250330634212,K0004,16:02:43,2025-03-25,63,1,SECRETARIAT,CHEPAUK,102K CD,90.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
868728039247405,I1910,15:06:12,2025-03-25,59,1,M.G.R.CENTRAL,BROADWAY,102P CD,20.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,15:07:32,2025-03-25,59,1,M.G.R.CENTRAL,BROADWAY,102P CD,10.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,15:12:41,2025-03-25,59,1,M.G.R.CENTRAL,BROADWAY,102P CD,110.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,15:22:49,2025-03-25,60,1,M.G.R.CENTRAL,BROADWAY,102P CD,150.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,15:29:16,2025-03-25,60,1,ADYAR SIGNAL (MALAR HOSPITAL),ADYAR DEPOT,102P CD,19.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,15:40:04,2025-03-25,61,1,M.G.R.CENTRAL,BROADWAY,102P CD,29.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,15:40:44,2025-03-25,61,1,ADYAR DEPOT,S.R.P TOOLS,102P CD,10.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,15:56:11,2025-03-25,62,1,M.G.R.CENTRAL,BROADWAY,102P CD,130.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039247405,I1910,17:09:23,2025-03-25,67,1,M.G.R.CENTRAL,BROADWAY,102P CD,10.0,UP,M.G.R.CENTRAL To PERUMPAKKAM S.C.B
868728039291882,J1754,13:30:09,2025-03-25,53,1,FORESHORE ESTATE,A.M.S.HOSPITAL,102X,30.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,13:35:18,2025-03-25,53,1,FORESHORE ESTATE,A.M.S.HOSPITAL,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,13:45:36,2025-03-25,54,1,ADYAR DEPOT,S.R.P TOOLS,102X,20.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,13:56:43,2025-03-25,54,1,SECRETARIAT,CHEPAUK,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,13:59:52,2025-03-25,54,1,SHOLINGANALLUR P.U.OFFICE,KUMARAN NAGAR,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,14:01:42,2025-03-25,55,1,KARAPAKKAM,SHOLINGANALLUR P.U.OFFICE,102X,30.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,14:08:01,2025-03-25,55,1,KUMARAN NAGAR,SEMMANCHERI ALAMARAM,102X,80.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,14:11:39,2025-03-25,55,1,KANDANCHAVADI,THORAIPAKKAM TEA SHOP,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,14:14:39,2025-03-25,55,1,S.R.P TOOLS,KANDANCHAVADI,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,15:11:45,2025-03-25,59,1,KANDANCHAVADI,THORAIPAKKAM TEA SHOP,102X,79.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,15:25:22,2025-03-25,60,1,SHOLINGANALLUR P.U.OFFICE,KUMARAN NAGAR,102X,20.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,15:44:47,2025-03-25,61,1,QUEEN MARRY'S ARTS COLLEGE,FORESHORE ESTATE,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,16:00:53,2025-03-25,63,1,FORESHORE ESTATE,A.M.S.HOSPITAL,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,16:08:51,2025-03-25,63,1,QUEEN MARRY'S ARTS COLLEGE,FORESHORE ESTATE,102X,59.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,16:14:00,2025-03-25,63,1,QUEEN MARRY'S ARTS COLLEGE,FORESHORE ESTATE,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,16:21:58,2025-03-25,64,1,CHEPAUK,QUEEN MARRY'S ARTS COLLEGE,102X,49.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,16:25:08,2025-03-25,64,1,QUEEN MARRY'S ARTS COLLEGE,FORESHORE ESTATE,102X,80.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,16:54:21,2025-03-25,66,1,SECRETARIAT,CHEPAUK,102X,20.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,18:14:51,2025-03-25,71,1,CHEPAUK,QUEEN MARRY'S ARTS COLLEGE,102X,10.0,UP,BROADWAY TO KELAMBAKKAM
868728039291882,J1754,18:17:41,2025-03-25,72,1,QUEEN MARRY'S ARTS COLLEGE,FORESHORE ESTATE,102X,20.0,UP,BROADWAY TO KELAMBAKKAM
868728039297384,J1458,13:28:50,2025-03-25,52,1,QUEEN MARRY'S ARTS COLLEGE,FORESHORE ESTATE,102K CD,31.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
868728039297384,J1458,14:22:06,2025-03-25,56,1,M.G.R.CENTRAL,BROADWAY,102K CD,29.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
868728039297384,J1458,14:29:25,2025-03-25,56,1,M.G.R.CENTRAL,BROADWAY,102K CD,100.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
868728039297384,J1458,14:30:15,2025-03-25,57,1,M.G.R.CENTRAL,BROADWAY,102K CD,10.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
868728039297384,J1458,14:33:44,2025-03-25,57,1,M.G.R.CENTRAL,BROADWAY,102K CD,20.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
868728039297384,J1458,15:33:07,2025-03-25,61,1,BROADWAY,SECRETARIAT,102K CD,51.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
868728039297384,J1458,15:57:41,2025-03-25,62,1,BROADWAY,SECRETARIAT,102K CD,10.0,UP,M.G.R.CENTRAL To EZHIL NAGAR
